# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=user
# enable_random_init=1
# seed=12345
# chain_id=1
# iter=10000
# warmup=5000
# save_warmup=1
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=stan_samples/LV_vehicle_1.csv
# diagnostic_file=stan_diagnostics/LV_vehicle_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma.1,y0_hat.1,y0_hat.2,r_s,r_r,K_s,K_r,p_alpha,p_beta,p_sigma.1,p_y0_hat.1,p_y0_hat.2,p_r_s,p_r_r,p_K_s,p_K_r,g_alpha,g_beta,g_sigma.1,g_y0_hat.1,g_y0_hat.2,g_r_s,g_r_r,g_K_s,g_K_r
-91.1378,1,0.0078125,1,1,0,554.407,0.114931,-0.048554,-2.92164,7.94332,8.18239,-3.56982,-3.23304,9.39508,9.62292,-2.80745,-4.36723,14.4391,-25.0389,6.48629,-2.42284,3.2375,-0.503714,2.339,4484.78,-473.005,-1268.42,742.737,-315.116,-1684.32,280.218,-3240.64,980.714
-91.1378,0,14.3855,0,1,1,93.8568,0.114931,-0.048554,-2.92164,7.94332,8.18239,-3.56982,-3.23304,9.39508,9.62292,1.76208,-0.344622,0.463067,-0.14574,0.376863,0.956008,-0.541292,-0.564344,-0.557784,4484.78,-473.005,-1268.42,742.737,-315.116,-1684.32,280.218,-3240.64,980.714
-91.1378,0,2.43117,0,1,1,94.5784,0.114931,-0.048554,-2.92164,7.94332,8.18239,-3.56982,-3.23304,9.39508,9.62292,0.0254955,1.24753,-0.464007,0.71435,-0.0245435,1.62449,-0.715981,-0.508479,-1.08986,4484.78,-473.005,-1268.42,742.737,-315.116,-1684.32,280.218,-3240.64,980.714
-91.1378,0,0.239791,0,1,1,93.8914,0.114931,-0.048554,-2.92164,7.94332,8.18239,-3.56982,-3.23304,9.39508,9.62292,0.0129315,0.207259,0.573133,-1.19385,0.694959,1.39695,0.313889,0.674897,0.849586,4484.78,-473.005,-1268.42,742.737,-315.116,-1684.32,280.218,-3240.64,980.714
-91.1378,0,0.0186273,0,1,1,97.1365,0.114931,-0.048554,-2.92164,7.94332,8.18239,-3.56982,-3.23304,9.39508,9.62292,1.34636,1.27545,1.3661,0.502368,-1.35688,-0.130374,-0.51016,2.06253,-0.258589,4484.78,-473.005,-1268.42,742.737,-315.116,-1684.32,280.218,-3240.64,980.714
182.087,1,0.00130482,3,7,0,89.4475,0.0641183,-0.0408399,-2.9068,7.93948,8.18141,-3.54799,-3.24546,9.43151,9.61425,-16.8414,2.16493,5.28488,-3.90201,0.999419,6.77009,-2.57767,12.15,-3.23937,1400.64,-117.468,-727.274,1532.56,-525.128,-443.421,-53.9138,-1027.23,347.098
197.015,1,0.00189104,2,3,0,-177.675,0.0619736,-0.0431681,-2.90651,7.93584,8.18528,-3.54412,-3.24346,9.43486,9.6148,2.31247,1.08192,-0.809099,3.38252,-2.49308,-2.39474,-1.0848,-2.6325,0.0917743,1246.22,-157.848,-697.644,1546.41,-473.698,-370.52,-23.6313,-912.359,408.478
381.258,1,0.00305706,3,7,0,-195.981,-0.0273595,-0.0586705,-2.83098,7.6493,8.26264,-3.52719,-3.24533,9.483,9.57881,1.5263,2.03294,-7.04768,16.7591,-5.60635,0.471858,-1.262,-0.487147,0.267107,-48.3413,30.5744,-296.915,-933.011,185.324,-216.956,-1.15191,64.4394,-27.8198
424.9,1,0.00530085,3,7,0,-379.821,0.0120158,-0.075341,-2.81681,7.79653,8.23403,-3.52858,-3.23191,9.45174,9.57238,-3.01771,1.10347,-2.97606,-7.79497,2.14748,-0.153293,-0.717075,2.23384,-0.275309,310.153,-22.3326,-206.331,298.287,-11.0893,-173.561,6.49512,-219.123,25.6633
454.365,0.63515,0.00961161,3,7,0,-421.951,0.0424579,-0.0344714,-2.62428,7.72743,8.24923,-3.43774,-3.21328,9.48266,9.5906,1.32069,0.694882,6.92076,3.37213,0.192022,1.71463,-0.176414,0.0293243,-0.56854,-134.048,-7.18903,-54.6369,-19.5109,104.569,146.98,64.2932,94.5608,75.208
